ID,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Ground Truth Word,Ground Truth Label
real_1_of_25,manager,start,season,jpay,league,spring,jpay,Word 4
real_2_of_25,bank,moisey's,financial,billion,capital,investment,moisey's,Word 2
real_3_of_25,cointreau's,host,night,show,late,fans,cointreau's,Word 1
real_4_of_25,development,production,power,united,peermont,business,peermont,Word 5
real_5_of_25,cent,year,march,months,brann,month,brann,Word 5
real_6_of_25,friday,kallang,week,york,back,day,kallang,Word 2
real_7_of_25,million,percent,rge,shares,top,fell,rge,Word 3
real_8_of_25,west,car,world,flamboyant,told,time,flamboyant,Word 4
real_9_of_25,services,china,service,farouq,business,company,farouq,Word 4
real_10_of_25,coverage,college,network,state,corazon's,official,corazon's,Word 5
real_11_of_25,world,cup,win,deprives,final,team,deprives,Word 4
real_12_of_25,company,board,tenx,today,march,announced,tenx,Word 3
real_13_of_25,series,leveon,fans,season,show,episode,leveon,Word 2
real_14_of_25,years,monken,good,big,back,time,monken,Word 2
real_15_of_25,interest,session.there,u.s,rates,rate,index,session.there,Word 2
real_16_of_25,make,decision,made,move,kaikudhta,future,kaikudhta,Word 5
real_17_of_25,stock,meister,report,market,price,target,meister,Word 2
real_18_of_25,news,million,reports,rattray,deal,told,rattray,Word 4
real_19_of_25,public,court,pay,tax,statement,confusion--both,confusion--both,Word 6
real_20_of_25,video,grimaces,tv,tonight,media,sign,grimaces,Word 2
real_21_of_25,yoshi's,home,runs,run,hit,game,yoshi's,Word 1
real_22_of_25,param,film,films,director,release,movie,param,Word 1
real_23_of_25,head,game,team,coach,bed-and-breakfast,play,bed-and-breakfast,Word 5
real_24_of_25,family,actress,life,-year-old,star,megan's,megan's,Word 6
real_25_of_25,boar,round,draft,free,pick,nfl,boar,Word 1
real_1_of_10,time,year,years,back,clark,make,clark,Word 5
real_2_of_10,start,season,home,game,saturday.chafin,hit,saturday.chafin,Word 5
real_3_of_10,nickerson,super,game,team,world,final,nickerson,Word 1
real_4_of_10,dillinger,market,u.s,shares,fell,percent,dillinger,Word 1
real_5_of_10,star,-year-old,life,swoopy,show,family,swoopy,Word 4
real_6_of_10,news,state,network,bigeast.com,april,day,bigeast.com,Word 4
real_7_of_10,company,billion,reported,year,million,lifetime.related,lifetime.related,Word 6
real_8_of_10,service,chief,industry,business,itrs,executive,itrs,Word 5
real_9_of_10,director,film,www.apachecorp.com,tv,movie,series,www.apachecorp.com,Word 3
real_10_of_10,year.lockette,nfl,season,team,draft,players,year.lockette,Word 1
real_1_of_50,glfdhy,field,red,baseman,sox,hit,glfdhy,Word 1
real_2_of_50,late,show,night,david,emerges,live,emerges,Word 5
real_3_of_50,day,week,monday,full,rs,cbs.the,cbs.the,Word 6
real_4_of_50,fans,good,pretty,things,lot,redd,redd,Word 6
real_5_of_50,thursday,states,including,part,united,al-nashmi,al-nashmi,Word 6
real_6_of_50,one-on-one,black,red,singer,taylor,justin,one-on-one,Word 1
real_7_of_50,gorge,months,cent,march,year,month,gorge,Word 1
real_8_of_50,information,case,commission,court,puspa,pay,puspa,Word 5
real_9_of_50,season,hlad,television,tv,series,episode,hlad,Word 2
real_10_of_50,toronto-area,win,match,cup,australia,world,toronto-area,Word 1
real_11_of_50,tonight,announced,sign,torque,today,company,torque,Word 4
real_12_of_50,company,portola,million,earnings,reported,quarter,portola,Word 2
real_13_of_50,smith,position,good,quarterback,make,assoumane,assoumane,Word 6
real_14_of_50,garaufis,film,festival,director,movie,story,garaufis,Word 1
real_15_of_50,awards,award,event,kenerly,th,sunday,kenerly,Word 4
real_16_of_50,family,life,home,ratchet,house,brown,ratchet,Word 4
real_17_of_50,runs,home,zawisza,win,run,innings,zawisza,Word 3
real_18_of_50,board,mr,president,food,hallucinations,national,hallucinations,Word 5
real_19_of_50,daily,latest,top,conseslus,news,williams,conseslus,Word 4
real_20_of_50,official,soundersfc.com,network,college,cbssports.com,coverage,soundersfc.com,Word 2
real_21_of_50,stocks,percent,wqay,points,average,index,wqay,Word 3
real_22_of_50,calculates,percent,companies,fell,top,shares,calculates,Word 1
real_23_of_50,china,india,mrima,growth,government,industry,mrima,Word 3
real_24_of_50,releaseasx,office,disney,star,age,wars,releaseasx,Word 1
real_25_of_50,john,leaving,guillarme,martin,time,james,guillarme,Word 3
real_26_of_50,state,school,team,head,scuffle,coach,scuffle,Word 5
real_27_of_50,michael,cardinals,johnson,st,chris,bayar,bayar,Word 6
real_28_of_50,front.weekly,games,league,baseball,season,team,front.weekly,Word 1
real_29_of_50,company,billion,deal,group,mind's,sale,mind's,Word 5
real_30_of_50,los,city,san,york,game,tax,tax,Word 6
real_31_of_50,wednesday,hired,thursday,april,tuesday,friday,hired,Word 2
real_32_of_50,told,inventing,star,-year-old,interview,people,inventing,Word 2
real_33_of_50,ians,actor,raizada,film,indian,khan,raizada,Word 3
real_34_of_50,company,business,pierpont,online,service,apple,pierpont,Word 3
real_35_of_50,chilena,back,early,line,time,put,chilena,Word 1
real_36_of_50,fund,management,rieko,investors,investment,capital,rieko,Word 3
real_37_of_50,contract,free,liebovitz,deal,agency,signed,liebovitz,Word 3
real_38_of_50,season,list,left,injury,start,maysles,maysles,Word 6
real_39_of_50,game,bowl,super,patriots,tottering,tom,tottering,Word 5
real_40_of_50,prices,production,energy,oil,power,pessimists,pessimists,Word 6
real_41_of_50,revivals,past,years,big,recent,ago,revivals,Word 1
real_42_of_50,dollar,u.s,interest,rates,venture:boz,rate,venture:boz,Word 5
real_43_of_50,back,eagles,huanghua,trade,general,head,huanghua,Word 3
real_44_of_50,draft,nfl,betanysports,pick,defensive,round,betanysports,Word 3
real_45_of_50,kersey,credit,analyst,report,price,target,kersey,Word 1
real_46_of_50,market,markets,stock,trading,exchange,poorer,poorer,Word 6
